Zone_ID,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution
160,1,HID,1,1,1280→15140,15158→1281,5,3
161,1,HID,1,1,1293→15121,15139→1294,5,3
162,1,HID,1,1,1329→15102,15120→1330,5,3
163,1,HID,1,1,1310→15079,15101→1311,5,3
164,1,HID,1,1,1302→15060,15333→1303,5,3
165,1,HID,1,1,1102→15041,15059→1103,5,3
166,1,HID,1,1,1115→15020,15040→1116,5,3
167,1,HID,1,1,1129→15001,15019→1130,5,3
168,1,HID,2,2,9157→9574; 9564→9565,9585→9168; 9593→9594,31,29
169,1,HID,4,4,8919→12601; 12820→12614; 13059→12611; 13120→12619,12625→8920; 12613→12821; 12608→13026; 12617→13062,31,29
170,1,HID,7,6,12613→12821; 12608→13026; 12817→12818; 12854→13014; 12868→13000; 12998→12999; 13303→13304,12820→12614; 13059→12611; 12838→12840; 12835→13023; 13012→12856; 13022→13023,37,35
171,1,HID,3,3,12617→13062; 12627→13095; 12803→13082,13094→12629; 13120→12619; 13081→12804,37,35
172,1,HID,6,6,12631→12792; 12779→12780; 12887→12981; 12902→12966; 13081→12804; 12964→12965,12788→12634; 12817→12818; 12979→12889; 12998→12870; 12803→13082; 12998→12999,37,35
173,1,HID,3,3,12637→13121; 12646→13146; 12775→13134,13145→12648; 13168→12639; 13133→12777,36,34
174,1,HID,7,8,12651→12764; 12749→12751; 12936→12755; 12654→13169; 12916→12952; 12936→12937; 13133→12777,12761→12652; 12779→12780; 13188→12656; 12950→12918; 12964→12904; 12775→13134; 12964→12965; 13191→13192,37,35
175,1,HID,6,5,12838→12840; 12835→13023; 13012→12856; 13280→12685; 13301→12664; 13022→13023,12687→12688; 12868→12869; 12854→13014; 12868→13000; 12683→13281,36,34
176,1,HID,6,6,12687→12688; 12868→12869; 12979→12889; 12998→12870; 13242→12714; 13263→12697,12716→12717; 12902→12903; 12887→12981; 12902→12966; 12713→13243; 12696→13264,37,35
177,1,HID,6,7,12716→12717; 12902→12903; 12950→12918; 12964→12904; 13209→12737; 13225→12726,12749→12751; 12936→12755; 12916→12952; 12936→12937; 12747→13194; 12736→13210; 12725→13226,37,35
178,1,HID,5,5,12713→13243; 12696→13264; 12683→13281; 13239→13240; 13239→13246,13242→12714; 13263→12697; 13280→12685; 13301→12664; 13303→13304,37,35
179,1,HID,4,4,12747→13194; 12736→13210; 12725→13226; 13191→13192,13209→12737; 13225→12726; 13239→13240; 13239→13246,37,35
180,1,HID,1,1,2016→5715,5729→5244,5,3
181,1,HID,1,1,5027→5702,5713→1640,5,3
182,1,HID,1,1,4824→5650,5661→1428,5,3
183,1,HID,1,1,1331→5632,5648→4545,5,3
184,1,HID,1,1,4237→5616,5629→962,5,3
