Feature명,카테고리,데이터타입,계산식,실제계산식,설명,목적,예시,관계성퍼센트(%),중요도,급증예측기여,원천컬럼
M14A_3F_TO_HUB_JOB2_mean,Inflow_기본통계,float,"np.mean(df[""M14A_3F_TO_HUB_JOB2""].iloc[i-30:i])",(값1+값2+...+값30)÷30,M14A_3F_TO_HUB_JOB2 30분 평균 유입량,HUB로 유입되는 작업량,평균 높으면 유입 과다,68,상,상,M14A_3F_TO_HUB_JOB2
M14A_3F_TO_HUB_JOB2_last_value,Inflow_기본통계,float,"df[""M14A_3F_TO_HUB_JOB2""].iloc[i-1]",현재 시점의 값,M14A_3F_TO_HUB_JOB2 현재 유입량,현재 유입 상태,last 높으면 현재 유입 많음,74,최상,최상,M14A_3F_TO_HUB_JOB2
M14A_3F_TO_HUB_JOB2_slope,Inflow_기본통계,float,"np.polyfit(np.arange(30), df[""M14A_3F_TO_HUB_JOB2""].iloc[i-30:i], 1)[0]",선형회귀 기울기 계수,M14A_3F_TO_HUB_JOB2 30분 기울기,유입량 증가/감소 추세,slope>0 → 유입 증가 중,61,상,상,M14A_3F_TO_HUB_JOB2
M16A_3F_TO_M16A_6F_JOB_mean,Outflow_기본통계,float,"np.mean(df[""M16A_3F_TO_M16A_6F_JOB""].iloc[i-30:i])",(값1+값2+...+값30)÷30,M16A_3F_TO_M16A_6F_JOB 30분 평균 유출량,HUB에서 유출되는 작업량,평균 낮으면 배출 부족,66,상,상,M16A_3F_TO_M16A_6F_JOB
M16A_3F_TO_M16A_6F_JOB_last_value,Outflow_기본통계,float,"df[""M16A_3F_TO_M16A_6F_JOB""].iloc[i-1]",현재 시점의 값,M16A_3F_TO_M16A_6F_JOB 현재 유출량,현재 배출 상태,last 낮으면 현재 배출 부족,73,최상,최상,M16A_3F_TO_M16A_6F_JOB
M16A_3F_TO_M16A_6F_JOB_slope,Outflow_기본통계,float,"np.polyfit(np.arange(30), df[""M16A_3F_TO_M16A_6F_JOB""].iloc[i-30:i], 1)[0]",선형회귀 기울기 계수,M16A_3F_TO_M16A_6F_JOB 30분 기울기,유출량 증가/감소 추세,slope<0 → 배출 감소 중 (위험),59,상,상,M16A_3F_TO_M16A_6F_JOB
M16A_3F_TO_M16A_2F_JOB_mean,Outflow_기본통계,float,"np.mean(df[""M16A_3F_TO_M16A_2F_JOB""].iloc[i-30:i])",(값1+값2+...+값30)÷30,M16A_3F_TO_M16A_2F_JOB 30분 평균 유출량,HUB에서 유출되는 작업량,평균 낮으면 배출 부족,64,상,상,M16A_3F_TO_M16A_2F_JOB
M16A_3F_TO_M16A_2F_JOB_last_value,Outflow_기본통계,float,"df[""M16A_3F_TO_M16A_2F_JOB""].iloc[i-1]",현재 시점의 값,M16A_3F_TO_M16A_2F_JOB 현재 유출량,현재 배출 상태,last 낮으면 현재 배출 부족,71,최상,최상,M16A_3F_TO_M16A_2F_JOB
M16A_3F_TO_M16A_2F_JOB_slope,Outflow_기본통계,float,"np.polyfit(np.arange(30), df[""M16A_3F_TO_M16A_2F_JOB""].iloc[i-30:i], 1)[0]",선형회귀 기울기 계수,M16A_3F_TO_M16A_2F_JOB 30분 기울기,유출량 증가/감소 추세,slope<0 → 배출 감소 중 (위험),57,상,상,M16A_3F_TO_M16A_2F_JOB
M16A_3F_TO_M14A_3F_JOB_mean,Outflow_기본통계,float,"np.mean(df[""M16A_3F_TO_M14A_3F_JOB""].iloc[i-30:i])",(값1+값2+...+값30)÷30,M16A_3F_TO_M14A_3F_JOB 30분 평균 유출량,HUB에서 유출되는 작업량,평균 낮으면 배출 부족,62,상,상,M16A_3F_TO_M14A_3F_JOB
M16A_3F_TO_M14A_3F_JOB_last_value,Outflow_기본통계,float,"df[""M16A_3F_TO_M14A_3F_JOB""].iloc[i-1]",현재 시점의 값,M16A_3F_TO_M14A_3F_JOB 현재 유출량,현재 배출 상태,last 낮으면 현재 배출 부족,69,최상,최상,M16A_3F_TO_M14A_3F_JOB
M16A_3F_TO_M14A_3F_JOB_slope,Outflow_기본통계,float,"np.polyfit(np.arange(30), df[""M16A_3F_TO_M14A_3F_JOB""].iloc[i-30:i], 1)[0]",선형회귀 기울기 계수,M16A_3F_TO_M14A_3F_JOB 30분 기울기,유출량 증가/감소 추세,slope<0 → 배출 감소 중 (위험),55,상,상,M16A_3F_TO_M14A_3F_JOB
M16A_6F_LFT_MAXCAPA_last_value,MaxCapa_용량,float,"df[""M16A_6F_LFT_MAXCAPA""].iloc[i-1]",현재 시점의 값,M16A_6F_LFT_MAXCAPA 현재 최대 용량,시스템 최대 처리 능력,last 낮으면 용량 부족,44,중,중,M16A_6F_LFT_MAXCAPA
M16A_2F_LFT_MAXCAPA_last_value,MaxCapa_용량,float,"df[""M16A_2F_LFT_MAXCAPA""].iloc[i-1]",현재 시점의 값,M16A_2F_LFT_MAXCAPA 현재 최대 용량,시스템 최대 처리 능력,last 낮으면 용량 부족,42,중,중,M16A_2F_LFT_MAXCAPA
storage_use_rate,FS_Storage_도메인특화,float,(storage_use[-1] - storage_use[0]) / 30,(마지막값 - 첫값)÷30,FS 저장공간 사용 증가 속도 (분당),저장공간 소진 속도 파악,rate=2 → 분당 2GB씩 증가 중,67,상,상,CD_M163FSTORAGEUSE
storage_remaining,FS_Storage_도메인특화,float,storage_total[-1] - storage_use[-1],총용량 - 사용량,FS 저장공간 남은 용량,가용 저장공간 파악,remaining=10GB → 곧 부족,58,상,상,"CD_M163FSTORAGETOTAL, CD_M163FSTORAGEUSE"
storage_util_last,FS_Storage_도메인특화,float,storage_util[-1],현재 사용률 값,FS 저장공간 현재 사용률,현재 저장공간 부족 정도,util=10 → 심각한 부족,86,최상,최상,CD_M163FSTORAGEUTIL
storage_util_high,FS_Storage_도메인특화,int (0 or 1),1 if storage_util[-1] >= 7 else 0,사용률≥7 이면 1 아니면 0,FS 저장공간 높은 사용률 경고 (≥7),저장공간 부족 신호,1이면 저장공간 부족,77,상,상,CD_M163FSTORAGEUTIL
storage_util_critical,FS_Storage_도메인특화,int (0 or 1),1 if storage_util[-1] >= 10 else 0,사용률≥10 이면 1 아니면 0,FS 저장공간 심각한 부족 (≥10),저장공간 위기 신호,1이면 즉시 조치 필요,88,최상,최상,CD_M163FSTORAGEUTIL
hub_critical,Hub_도메인특화,int (0 or 1),1 if hub_last < 590 else 0,HUB여유공간<590 이면 1 아니면 0,HUB 심각한 병목 (여유공간 <590),HUB 위기 상태 감지,1이면 즉시 위험!,90,최상,최상,HUBROOMTOTAL
hub_high,Hub_도메인특화,int (0 or 1),1 if hub_last < 610 else 0,HUB여유공간<610 이면 1 아니면 0,HUB 높은 병목 위험 (여유공간 <610),HUB 병목 경고,1이면 병목 위험,92,최상,최상,HUBROOMTOTAL
hub_warning,Hub_도메인특화,int (0 or 1),1 if hub_last < 620 else 0,HUB여유공간<620 이면 1 아니면 0,HUB 병목 경고 (여유공간 <620),HUB 주의 필요,1이면 주의 관찰,75,상,상,HUBROOMTOTAL
hub_decrease_rate,Hub_도메인특화,float,(hub_seq[0] - hub_last) / 30,(첫값 - 마지막값)÷30,HUB 여유공간 감소 속도 (분당),HUB 악화 속도 파악,rate=1.5 → 분당 1.5씩 감소 중,70,상,상,HUBROOMTOTAL
